	CB10	CB11	CB12	CB13	CB2	CB3	CB4	CB5	CB6	CB7	CB8	CB9	taxonomy
ASV_181	0	0	0	0	103	0	0	0	0	8	0	0	Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Bilophila;
ASV_182	0	0	0	107	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Monoglobales;Monoglobaceae;Monoglobus;
ASV_183	0	0	0	0	0	0	0	0	0	102	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;GCA-900066575;
ASV_184	5	4	0	0	0	0	7	0	6	36	36	6	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-006;
ASV_185	0	16	0	0	53	5	10	11	0	0	4	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;;
ASV_186	0	0	0	0	0	0	0	0	99	0	0	0	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;
ASV_187	0	0	98	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-002;
ASV_188	0	0	0	0	0	0	0	0	97	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;;
ASV_189	0	0	0	0	0	0	0	0	0	0	89	7	Bacteria;Firmicutes;Clostridia;;;;
ASV_190	0	0	95	0	0	0	0	0	0	0	0	0	Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella;
ASV_191	0	0	68	27	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;UCG-011;;
ASV_192	4	89	0	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;;
ASV_193	0	0	0	0	0	0	0	0	0	93	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;;
ASV_194	0	4	0	0	0	0	0	0	87	0	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;;
ASV_195	0	0	0	0	23	0	0	0	0	0	59	9	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;;
ASV_196	0	0	0	0	0	0	0	0	0	25	54	11	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;;
ASV_197	0	0	84	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;
ASV_198	0	0	84	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Anaerosporobacter;
ASV_199	0	0	81	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group;;
ASV_200	0	0	80	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;;
ASV_201	0	0	77	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;;;
ASV_202	0	0	76	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;;
ASV_203	0	0	47	28	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;;
ASV_204	0	0	65	9	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;;
ASV_205	0	0	0	0	0	0	0	0	72	0	0	0	Bacteria;Firmicutes;Bacilli;;;;
ASV_206	0	0	0	0	0	0	0	0	51	0	20	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;;
ASV_207	0	0	0	0	0	3	0	11	55	0	0	0	Bacteria;Deinococcota;Deinococci;Thermales;Thermaceae;Meiothermus;
ASV_208	0	2	0	0	0	0	0	11	52	0	0	0	Bacteria;Firmicutes;Bacilli;Brevibacillales;Brevibacillaceae;Brevibacillus;
ASV_209	0	0	0	0	0	0	0	0	65	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;;
ASV_210	0	0	0	0	0	0	0	0	58	0	0	0	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;;
