	CB10	CB11	CB12	CB13	CB2	CB3	CB4	CB5	CB6	CB7	CB8	CB9	taxonomy
ASV_41	0	0	0	38	0	106	129	167	367	288	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
ASV_42	26	521	0	0	0	0	0	0	75	0	322	142	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;A2;
ASV_43	0	0	0	0	0	10	51	129	0	864	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;;
ASV_44	0	0	0	0	0	0	0	0	67	0	806	156	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;;
ASV_45	0	0	0	992	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;;;
ASV_46	0	0	0	0	0	0	0	0	47	942	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;;
ASV_47	537	393	49	0	0	0	0	0	0	0	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
ASV_48	0	0	0	0	937	0	0	0	0	0	0	0	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Turicibacter;
ASV_49	64	867	0	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;;
ASV_50	0	0	0	0	0	0	0	0	238	16	570	107	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group;
ASV_51	0	0	0	0	0	0	0	0	129	778	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;;
ASV_52	0	0	0	0	0	20	36	835	0	3	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;;
ASV_53	260	615	0	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;;
ASV_54	0	0	853	0	0	0	0	0	0	0	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;
ASV_55	0	0	208	595	0	0	0	0	0	0	0	0	Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;
ASV_56	0	0	742	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-002;
ASV_57	42	21	0	0	36	10	18	209	356	30	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group;
ASV_58	0	0	0	0	0	25	142	12	0	537	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;;
ASV_59	4	30	0	0	0	0	0	0	118	9	459	84	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;;
ASV_60	0	0	0	0	210	29	30	42	9	380	0	0	Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Megasphaera;
ASV_61	0	121	0	0	67	3	14	15	107	365	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;;
ASV_62	0	0	582	92	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;;
ASV_63	0	0	0	0	0	0	0	0	0	520	123	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Marvinbryantia;
ASV_64	0	0	422	199	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus;
ASV_65	20	582	0	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;;
ASV_66	0	0	555	45	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NC2004 group;
ASV_67	27	171	117	0	0	0	0	0	95	0	108	68	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
ASV_68	0	0	585	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;;;
ASV_69	0	27	435	0	7	0	0	24	0	0	79	4	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;;
ASV_70	0	5	0	0	0	5	3	31	495	25	3	9	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Aeribacillus;
ASV_71	0	0	507	32	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Subdoligranulum;
ASV_72	0	0	0	0	0	9	52	223	250	0	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Colidextribacter;
ASV_73	0	0	0	387	0	0	0	31	0	78	35	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;
ASV_74	0	0	0	0	0	0	6	41	103	263	98	8	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Anaerotruncus;
ASV_75	0	0	169	349	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;
ASV_76	235	165	30	0	0	0	0	0	0	0	69	14	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;
ASV_77	42	415	0	0	49	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;
ASV_78	182	312	0	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;;
ASV_79	0	0	0	0	0	6	65	126	269	25	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-001;
ASV_80	0	0	0	0	5	3	0	15	455	8	0	4	Bacteria;Firmicutes;Clostridia;Thermincolales;Thermincolaceae;Thermincola;
ASV_81	0	8	0	0	14	5	29	56	129	96	150	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Colidextribacter;
ASV_82	0	0	6	0	479	0	0	0	0	0	0	0	Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Bilophila;
ASV_83	0	0	103	375	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;
ASV_84	15	454	0	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-006;
ASV_85	27	29	83	18	0	27	23	26	0	0	51	183	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae;Odoribacter;
ASV_86	0	0	0	0	0	0	0	0	50	184	188	16	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-006;
ASV_87	0	0	0	0	0	4	22	68	169	112	50	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-006;
