	CB10_S1_L001	CB11_S1_L001	CB12_S1_L001	CB13_S1_L001	CB2_S1_L001	CB3_S1_L001	CB4_S1_L001	CB5_S1_L001	CB6_S1_L001	CB7_S1_L001	CB8_S1_L001	CB9_S1_L001
ASV_102	0	3	157	0	0	0	0	0	25	0	86	59
ASV_103	0	0	0	0	0	9	16	213	0	81	10	0
ASV_104	0	0	172	155	0	0	0	0	0	0	0	0
ASV_105	0	0	0	0	0	74	14	194	44	0	0	0
ASV_106	0	0	0	0	0	0	0	0	0	116	206	0
ASV_107	0	0	0	0	0	0	0	0	85	236	0	0
ASV_108	0	0	319	0	0	0	0	0	0	0	0	0
ASV_109	0	0	0	0	0	5	26	268	13	0	0	0
ASV_110	0	0	0	0	0	0	0	0	64	247	0	0
ASV_111	23	0	110	0	42	0	0	0	0	0	131	0
ASV_112	2	19	0	0	19	4	0	29	195	36	0	0
ASV_113	0	0	0	0	0	0	0	0	0	47	193	50
ASV_114	0	0	29	255	0	0	0	0	0	0	0	0
ASV_115	0	0	0	0	0	0	13	80	171	12	0	0
ASV_116	24	19	38	0	0	0	0	0	109	0	51	34
ASV_117	0	0	272	0	0	0	0	0	0	0	0	0
ASV_118	0	36	0	0	0	0	0	0	161	68	0	0
ASV_119	0	10	0	0	15	0	0	26	22	83	85	15
ASV_120	0	0	67	170	0	0	5	11	0	0	0	0
ASV_121	0	10	0	0	0	0	2	0	111	62	47	8
ASV_122	0	0	230	0	0	0	0	0	0	0	0	0
ASV_123	0	0	20	16	0	0	0	0	0	23	154	16
ASV_124	0	0	9	216	0	0	0	0	0	0	0	0
ASV_125	66	73	22	0	0	0	0	0	0	4	28	24
ASV_126	0	0	0	0	0	4	0	32	81	60	28	12
ASV_127	0	0	213	0	0	0	0	0	0	0	0	0
ASV_128	0	0	0	0	0	0	0	0	0	212	0	0
ASV_129	0	0	0	0	0	11	0	123	61	7	0	0
ASV_130	0	198	0	0	0	0	0	0	0	0	0	0
ASV_131	0	190	0	0	0	0	0	0	0	0	0	0
ASV_132	0	0	190	0	0	0	0	0	0	0	0	0
ASV_133	0	0	0	0	0	0	0	0	37	10	102	38
ASV_134	0	0	50	133	0	0	0	0	0	0	0	0
ASV_135	0	15	0	0	0	0	30	135	0	0	0	0
ASV_136	0	0	180	0	0	0	0	0	0	0	0	0
ASV_137	0	0	11	169	0	0	0	0	0	0	0	0
ASV_138	0	0	178	0	0	0	0	0	0	0	0	0
ASV_139	0	0	0	0	0	3	5	8	46	114	0	0
ASV_140	0	0	174	0	0	0	0	0	0	0	0	0
ASV_141	0	0	42	132	0	0	0	0	0	0	0	0
ASV_142	0	0	0	174	0	0	0	0	0	0	0	0
ASV_143	0	0	107	64	0	0	0	0	0	0	0	0
ASV_144	5	9	78	75	0	0	0	0	0	0	0	3
ASV_145	0	0	11	155	0	0	0	0	0	0	0	0
ASV_146	0	0	0	0	0	0	0	163	0	0	0	0
ASV_147	0	0	0	0	0	0	0	56	104	0	0	0
ASV_148	0	56	0	0	0	0	0	0	0	99	0	0
ASV_149	0	0	55	99	0	0	0	0	0	0	0	0
ASV_150	0	0	0	55	0	3	22	47	26	0	0	0
ASV_151	0	0	0	0	86	0	0	0	0	0	13	52
ASV_152	0	0	0	0	0	9	8	76	54	0	0	0
ASV_153	0	0	0	142	0	0	0	0	0	0	0	0
ASV_154	0	2	0	0	0	0	0	0	139	0	0	0
ASV_155	0	0	0	0	0	0	0	0	0	141	0	0
ASV_156	0	0	138	0	0	0	0	0	0	0	0	0
ASV_157	0	0	0	137	0	0	0	0	0	0	0	0
ASV_158	0	0	0	0	0	0	2	8	127	0	0	0
ASV_159	0	0	93	43	0	0	0	0	0	0	0	0
ASV_160	0	0	11	124	0	0	0	0	0	0	0	0
ASV_161	0	8	0	22	47	17	29	11	0	0	0	0
ASV_162	0	0	7	126	0	0	0	0	0	0	0	0
ASV_163	0	0	0	0	0	0	0	0	0	133	0	0
